FinalID,ReefBuildingSpecies,CommonEnglish,Type,OrbicellaAcropora,BCG Attribute,RedListCategory,DepthRange_m,DepthCategory,LifeHistoryStrategy,Darling etal 2012 Life History Group,origReefBuilding,ReproPattern_Mode,ReproPattern,ReproMode,YearlyGametogenesis,AnnualGametogeneses,SpawningBroodingEvents,SpawningBroodingSeason,GrowthForm,OLD_Morphology,MorphologyIndex,GrowthRate_cm_yr,GrowthRate_code,MeanSize,Susc3stars,SedimentSusceptibility,SedSuscCode,SedBCG_DELETE,BleachingSusceptibility,BleachSuscCode,BleachBCG_DELETE,DiseaseSusceptibility,DiseaseSuscCode,DiseaseBCG_DELETE,PATHOGENICDISEASES,GEOGRAPHICDISTRIBUTION,OBSERVATIONS_COMMENTS
Ircinia campana,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ircinia felix,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ircinia spp.,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ircinia spp. brown,,Ircinia,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ircinia strobilina,,Bumpy ball sponge,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isophyllastrea rigida,,Rough cactus coral,Scleractinian,,2,Least concern,23-May,Shallow,W,,,H - B,H,B,1-Jan,1,>1,SU-FA,SM-CR,hemispherical domes,2,0.3,Very Slow,Small,5,***,HiMod,03-abr,*,Low,1-Feb,*,Low,1-Feb,BBD - WPD - OTH,Wider Caribbean except Bermuda,These two are considered to belong to a single genus: Isophyllastrea
Isophyllia multiflora,,Sinuos cactus coral,Scleractinian,,,Least concern,20-Oct,Shallow,W,,,?,,,?,,?,?,SM-CR,,,?,Very Slow,Small,,**,LoMod,3,?,,?,?,,,?,Caribbean ??,Rare growth form with closed valleys. Needs taxonomic verification.
Isophyllia sinuosa,,Sinuos cactus coral,Scleractinian,,2,Least concern,20-May,Shallow,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU,SM-CR,hemispherical domes,2,0.5,Slow,Small,4,**,LoMod,2-Mar,*,Low,1-Feb,*,Low,1-Feb,BBD - WPD - OTH,Wider Caribbean,These two are considered to belong to a single genus: Isophyllastrea
Jania spp.,,Jania,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebrunia danae,,Lebrunia neglecta,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lebrunia neglecta,,Lebrunia neglecta,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leptoseris cailleti,,Foliose lettuce coral,Scleractinian,,,Least concern,35 - 80?,Deep,W,,,? - ?,,,?,,?,?,FO-BL,,,?,?,Small - Medium,,**,LoMod,2-Mar,****,High,5-Jan,?,,,?,Wider Caribbean ???,Mesophotic to deep water coral
Lobophora,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobophora spp,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lobophora spp.,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macro other calcareous,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macro other fleshy,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Macroalgae spp.,,Unknown,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madracis,,,Scleractinian,,,,,Broad,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU-FA,,based on species within genus,3,,Slow,Small - Medium,5,,HiMod,,,Low,,,Low,,,,
Madracis asperula,,Deep yellow pencil coral,Scleractinian,,,Data deficient,30 - 150,Deep,W,,,?,,,?,,?,?,BR,,,2,Fast,Small,,?,,0,*,Low,1,?,,?,?,Caribbean ??,Needs taxonomic verification. Deep reef and mesophotic coral comunities
Madracis auretenra,,Yellow pencil coral,Scleractinian,,4,Least concern,ene-30,MidDepth,W,,,H - B,H,B,1,1,>1,SP-SU-FA,BR,branching,3,0.7 - 2.4,Fast,Medium - Very Large,5,*,Low,1-Feb,**,LoMod,2-Mar,**,LoMod,1-Feb,WPD - OTH,Wider Caribbean,"Long, thing pale to yellow branches. Incorrectlky clasified as M. mirabilis."
Madracis carmabi,,Ten ray finger coral,Scleractinian,,,Data deficient,> 30,Deep,W,,,H - B,H,B,1-Jan,1,>1,SP-SU-FA,BR,,,?,Slow,Small - Medium,,**,LoMod,3,*,Low,1,?,,,?,Curacao and southern Caribbean only??,"Short, brown or olive green rounded branches, smaller colonies than M. formosa"
Madracis decactis,,Ten ray star coral,Scleractinian,,3,Least concern,May-50,Broad,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU-FA,BR-SM,encrusting,3,?,Slow,Small - Medium,4,**,LoMod,3-Jan,*,Low,1-Feb,*,Low,1-Feb,WPD - OTH,Wider Caribbean,"Short, green-gray nobby branches. Wide depth distribution"
Madracis formosa,,Eight-ray star coral,Scleractinian,,,Least concern,15 - 30,MidDepth,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU-FA,BR,,3,?,Slow,Smalll - Large,4,**,LoMod,3,*,Low,1-Feb,*,Low,1,WPD - OTH,Wider Caribbean,"Long, chocolate brown sometimes flatten branches, yellow calices. Dee pslopes and sandy areas"
Madracis myriaster,,Deep yellow pencil coral,Scleractinian,,,,30 - 150,Deep,W,,,?,,,?,,?,?,BR,,,?,?,Small,,?,,,*,Low,1-Jan,?,,?,?,Caribbean ??,Deep reef and Mesophotic coral communities
Madracis pharensis,,Ten ray massive coral,Scleractinian,,,Least concern,1-Oct,Broad,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU-FA,CR-SM,,1,?,Very Slow,Small,,***,HiMod,4-Jan,*,Low,1,?,,,?,Wider Caribbean except Bermuda,"Needs taxonomic verification. Taxon with zooxanthelae in deep, exposed habitats."
Madracis pharensis f luciphogous,,Ten ray crustose coral,Scleractinian,,,Least concern,30-May,MidDepth,W,,,H - B,H,B,1,1,>1,SP-SU-FA,SM-CR,,,?,Very slow,Small,5,***,HiMod,4-Jan,*,Low,1-Feb,*,Low,1,WPD-OTH,Wider Caribbean except Bermuda,Taxon without zooxanthellae
Madracis pharensis f. luciphylla,,Ten ray massive coral,Scleractinian,,,Least concern,Oct-50,Broad,W,,,H - B,H,B,1,1,>1,SP-SU-FA,CR-SM,,,?,Very Slow,Small,,***,HiMod,4,*,Low,1,?,,0,?,Wider Caribbean except Bermuda,"Needs taxonomic verification. Taxon with zooxanthelae in deep, exposed habitats."
Madracis senaria,,Six-ray star coral,Scleractinian,,,Least concern,23-Oct,MidDepth,W,,,H - B,H,B,1,1,>1,SP-SU-FA,CR-SM,"based on photos, dome or encrusting",2,?,Slow,Small - Medium,5,***,HiMod,4-May,*,Low,1-Feb,*,Low,1-Feb,WPD - GAN,Wider Caribbean except Bermuda,"Semi criptic, submassive colonies with five exerted primary septa that are distinctive, diagnostic traits"
Madracis spp,,,Scleractinian,,,,,Broad,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU-FA,,based on species within genus,3,,Slow,Small - Medium,5,,HiMod,,,Low,,,Low,,,,
Magnoliophyta,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Magnoliophyta spp,,,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Manicina areolata,,Rose coral,Scleractinian,,5,Least concern,ene-20,Shallow,W,2 - Weedy,,H - B,H,B,1,1,>1,SP-SU,SM,,2,0.3 - 1.2,Slow,Small,4,*,Low,1-Feb,**,LoMod,3,*,Low,1,WPD - OTH,Wider Caribbean except Bermuda,"Lives on sediment areas, like Thallasia beds."
Manicina mayori,,Rose coral,Scleractinian,,,Least concern,20-Oct,Shallow,W,,,H - B,H,B,?,,?,?,SM-CR,,,0.3 - 1.2,Slow,Small,,**,LoMod,2-Mar,**,LoMod,3-Jan,?,,,?,??,Needs genetic and more ecological data
Martensia pavonia,,,Algae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meandrina,,Maze coral,Scleractinian,,,,30-May,MidDepth,W,,,MP - B,,B,?,,?,?,SM,based on species within genus,2,?,Very Slow,Small,6,**,LoMod,3-Jan,**,LoMod,3,**,LoMod,2,WPD - BBD,Bermuda,"This is probably a different, endemic species. Needs taxonomic verification"
Meandrina danae,,Butterprint rose coral,Scleractinian,,,Least concern,30-Oct,MidDepth,W,,,MP - S,,S,1,1,1-Feb,SU-FA,SM,"based on photos, crenulaled",2,?,Very Slow,Very Small,3,*,Low,1-Feb,*,Low,1-Feb,*,Low,1,WPD,Wider Caribbean except Bermuda,Confused with M. brasiliensis which is endemic to Brazil
Meandrina jacksoni,,White valley maze coral,Scleractinian,,4,,25-Mar,MidDepth,W,4 - Stress Tolerant,,G - S,G,S,1,1,1-Feb,SU-FA,SM-MA-CR-PL,,2,0.1- 0.3,Very Slow,Medium,7,**,LoMod,2-Mar,***,HiMod,4-Jan,**,LoMod,3,BBD - WPD - RBD- SCTLD,Wider Caribbean except Bermuda,"Recently described. Crustose/plate coralla, wide, pale valleys and low ridges"
Meandrina meandrites,,Maze coral,Scleractinian,,4,Least concern,1-Mar,Broad,W,4 - Stress Tolerant,,MP - B,,B,1,1,>1,SU-FA,MS-SM-PL-CO,brain - hemisphere and plate,2,0.1 - 0.3,Very Slow,Medium,8,**,LoMod,2-Mar,***,HiMod,4-Jan,***,HiMod,4,BBD - WPD - SCTLD,Wider Caribbean except Bermuda,Thick septa and deep narrow valleys - Possibly not in Bermuda since the taxon there is diferent
Meandrina spp,,Maze coral,Scleractinian,,,,30-May,MidDepth,W,,,MP - B,,B,?,,?,?,SM,based on species within genus,2,?,Very Slow,Small,6,**,LoMod,3,**,LoMod,3,**,LoMod,2,WPD - BBD,Bermuda,"This is probably a different, endemic species. Needs taxonomic verification"
Millepora,,,Scleractinian,,,,,Broad,C,,,G - B,G,B,,,,,,based on typical species within genus,3,,Slow,,,,,,,High,,,,,,,
Millepora alcicornis,,Branching fire hydrocoral,Scleractinian,,5,Least concern,ene-40,Broad,C,,,G - B,G,B,?,,?,?,BR-CR,branching,3,0.2-0.75,Slow,Medium-Very Large,8,**,LoMod,2-Mar,****,High,5,**,LoMod,2,WPD - OTH - GAN,Wider Caribbean,Hydrozoan
Millepora complanata,,Blade fire hydrocoral,Scleractinian,,3,Least concern,Feb-40,Broad,C,,,G - B,G,B,?,,?,?,PL-CR,branching,3,0.3 - 0.8,Slow,Large - Very large,8,**,LoMod,2-Mar,****,High,5,**,LoMod,03-abr,BBD - WPD - OTH,Wider Caribbean,Hydrozoan
Millepora spp,,,Scleractinian,,,,,Broad,C,,,G - B,G,B,,,,,,based on typical species within genus,3,,Slow,,,,,,,High,,,,,,,
Millepora squarrosa,,Box fire hydrocoral,Scleractinian,,,Least concern,15-May,Shallow,W,,,G - B,G,B,?,,?,?,SM-CR,"based on photos, dome or encrusting",2,2.24,Fast,Small - Medium,,***,HiMod,4-May,****,High,5,?,,,?,Central and outhern Caribbean,Hydrozoan
Millepora striata,,Striated fire hydrocoral,Scleractinian,,,Endangered,15-May,Shallow,C,,,G - B,G,B,?,,?,?,BR,,,0,Slow,Medium-Large,,***,HiMod,4-May,***,HiMod,4-May,?,,,?,Western Caribbean Only ??,"Hydrozoan, restricted distribution to the western Caribbean"
Monanchora arbuscula,,Red-white marbled sponge,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Montastraea cavernosa,X,Great star coral,Scleractinian,,5,Least concern,Mar-90,Broad,S,4 - Stress Tolerant,,G - S,G,S,1,1,1,SU,BO-SM-CR,boulder,2,0.2 - 1.1,Slow,Medium - Large,5,*,Low,1-Feb,**,LoMod,3,**,LoMod,2-Mar,BBD-WPD-DSD-CYBD-CCI-GAN-RBD-OTH-SCTLD-IMS,Wider Caribbean,Wide depth distibution.
Montastraea nsp.,,Large polyped star coral,Scleractinian,,,,30-Oct,MidDepth,S,,,G - S,G,S,1,1,1,SU,BO-SM-CR,,,0.2 - 0.7,Slow,Medium - Large,5,*,Low,1-Feb,**,LoMod,2,**,LoMod,2-Mar,BBD - WPD - DSD - OTH - SCTLD - IMS,Wider Caribbean except Bermuda,"Under study. Morphometric, ecological and behavioral data indicates is different from small polyped M. cavernosa"
Montastrea faveolata,X,Orbicella faveolata,Scleractinian,OrbAcrp,4,Endangered,ene-25,MidDepth,G,3 - Intermediate,X,H - S,H,S,1,1,2-Mar,SU-FA,BO-MA-SM-CR,"mound with head or sheets, with smooth versions having keels or bumps.",2,0.5 - 1.2,Slow,Medium - Very Large,10,**,LoMod,3,****,High,4-May,****,High,4-May,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTDL-IMS,Wider Caribbean,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Muricea atlantica,,Gorgonian,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muriceopsis flavida,,Bottle-brush coral,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mussa angulosa,,Atlantic mushroom coral,Scleractinian,,4,Least concern,25-May,MidDepth,W,,,H - B,H,B,?,,>1,?,BR-SM,,2,?,Very slow,Medium - Large,5,**,LoMod,1-Feb,*,Low,1-Feb,**,LoMod,1-Feb,WPD - OTH - SCTLD,Wider Caribbean except Bermuda,Large polyps growing in a faceoloid growth form. Intratentacular division. Multicolored.
Mycale (mycale) laevis,alternate representation,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycale laevis,alternate representation,Mycale (Mycale) laevis,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycetophyllia,,,Scleractinian,,,,,MidDepth,W,,,H - B,H,B,02-abr,Multi,>2,,,based on species within genus,1,,Slow,,5,,LoMod,,,Low,,,LoMod,,,,
Mycetophyllia aliciae,,Knooby cactus coral,Scleractinian,,4,Least concern,Oct-50,Broad,W,,,H - B,H,B,02-abr,Multi,>2,WI-SP,PL-CR,fleshy encrusting,1,?,Slow,Medium - Large,5,**,LoMod,2-Mar,*,Low,1-Feb,**,LoMod,2-Mar,WPD - OTH - SCTLD,Wider Caribbean except Bermuda,"Shallow, wide valleys, discontinuous ridges."
Mycetophyllia danaana,,Deep valley cactus coral,Scleractinian,,,Least concern,30-Oct,MidDepth,W,,,H - B,H,B,02-abr,Multi,>2,WI-SP,PL-CR-SM,,1,?,Slow,Small - Medium,6,***,HiMod,03-abr,*,Low,1-Feb,**,LoMod,1-Feb,WPD,Wider Caribbean,"Deep and narrow valleys, continuous, wide ridges"
Mycetophyllia ferox,,Rough cactus coral,Scleractinian,,4,Vulnerable,25-May,MidDepth,W,2 - Weedy,,H - B,H,B,02-abr,Multi,>2,FA-WI,PL-CR,fleshy encrusting,1,?,Slow,Small - Medium,7,**,LoMod,2-Mar,**,LoMod,3,***,HiMod,2-Mar,BBD - WPD - OTH - SCTLD,Wider Caribbean except Bermuda,"Medium sizes plates with narrow ridges acros whole colony, opne and closed valleys"
Mycetophyllia lamarckiana,,Ridged cactus coral,Scleractinian,,,Least concern,30-Oct,MidDepth,W,,,H - B,H,B,02-abr,Multi,>2,WI-SP,PL-CR,"plates, mounds hemispheres",1,?,Slow,Small - Medium,6,***,HiMod,03-abr,*,Low,1-Feb,**,LoMod,2,WPD - RBD,Wider Caribbean except Bermuda,"Deep and wide valleys, discontinuous, wide ridges"
Mycetophyllia reesi,,Ridgeless cactus coral,Scleractinian,,,Data deficient,20 - 60,Deep,W,,,?,,,?,,?,,PL,"based on photos, flat plates",1,?,Slow,Medium - Large,4,**,LoMod,1-Feb,*,Low,1-Feb,*,Low,1-Feb,WPD - OTH,Wider Caribbean,Deep water species. Flat plates with no ridges across corallum.
Mycetophyllia spp,,,Scleractinian,,,,,MidDepth,W,,,H - B,H,B,02-abr,Multi,>2,,,based on species within genus,1,,Slow,,5,,LoMod,,,Low,,,LoMod,,,,
Neofibularia nolitangere,,Do-not-touch-me sponge,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neopetrosia proxima,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neopetrosia spp.,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neopetrosia spp. smooth,,Neopetrosia,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niphates amorpha,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niphates caribica,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niphates digitalis,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niphates erecta,,Sponges,Non-Coral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Coral Observed,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No Species,,,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oculina diffusa,,Diffuse ivory coral,Scleractinian,,5,Least concern,25-Feb,MidDepth,W,,,G - S,G,S,?,,?,?,BR-CR,branching,3,1.2 - 2.2,Fast,Small - Medium,4,*,Low,1,**,LoMod,3,*,Low,1,WPD - OTH,Wider Caribbean,Can form large thickets in protected habitats
Oculina robusta,,Robust ivory coral,Scleractinian,,,Data deficient,30-Oct,MidDepth,W,,,G - S,G,S,?,,>1,?,BR-CR,,,?,?,Small,,*,Low,1,***,HiMod,03-abr,?,,,?,Florida - Eastern coast US,More common in temperated environments - azooxanthellated
Oculina valeciennesi,,Small ivory coral,Scleractinian,,,,20-May,Shallow,W,,,G - S,G,S,?,,?,?,BR,,,?,?,Small,,*,Low,1,***,HiMod,03-abr,?,,,?,Wider Caribbean except Bermuda,Restricted to the cnetral and southern Caribbean
Oculina varicosa,,Large ivory coral,Scleractinian,,,Vulnerable,20-May,Shallow,W,,,G - S,G,S,?,,?,SU-FA?,BR-CR,,,?,?,Small - Medium,,*,Low,1,**,LoMod,3,?,,,?,Wider Caribbean,"Short, thick branches and small colonies."
Orbicella,X,,Scleractinian,OrbAcrp,4,,,MidDepth,G,,X,H - S,H,S,1,1,2-Mar,SU-FA,BO-MA-SM-CR,based on species within genus,2,,Slow,Medium - Very Large,9,,LoMod,,,High,,,High,,,,
Orbicella annularis,X,Lobed star coral,Scleractinian,OrbAcrp,4,,ene-25,MidDepth,G,4 - Stress Tolerant,X,H - S,H,S,1,1,2-Mar,SU-FA,CO-BO-SM,"columns with upward growth on top, sides usually senescent",3,0.4 - 1.4,Slow,Medium - Very Large,9,*,Low,2,****,High,4-May,****,High,4-May,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean except Bermuda,Recently reclassified into a different family. Threatened species (ESA-IUCN)
Orbicella annularis complex,X,Lobed star coral,Scleractinian,OrbAcrp,4,,ene-25,MidDepth,G,4 - Stress Tolerant,X,H - S,H,S,1,1,2-Mar,SU-FA,CO-BO-SM,same as species,3,0.4 - 1.4,Slow,Medium - Very Large,9,*,Low,2,****,High,4-May,****,High,4-May,BBD-CYBD-WPD-DSD-RBD-CCI-GAN-OTH-SCTLD,Wider Caribbean except Bermuda,Recently reclassified into a different family. Threatened species (ESA-IUCN)
